column0,cell2_z2,cell3_z2,cell4_z2,cell5_z2,cell6_z2,cell7_z2,cell8_z2,cell9_z2
14.25,0.00291631675348443,0.00312294009660011,0.0058925226406564,0.00558495619572327,0.00808934316735228,0.00588853164281491,0.00305035969543413,0.00347669557203759
14.5,0.00276619971540008,0.00438545031989566,0.00499640643017279,0.00530612418839208,0.0074507472694619,0.00488382527097868,0.0029876680844142,0.0035300489767725
14.75,0.00265752073578725,0.0050682617930712,0.00390801487439898,0.00457216210495142,0.00601940208897074,0.00297339875624037,0.0038381047401647,0.00519767558329565
15,0.0175706526116612,0.0189068737702371,0.0116027834091071,0.026654055928687,0.0164724089217456,0.0160049278800869,0.0156115585175082,0.0176209952661182
15.25,0.00271039376992819,0.00480833281339437,0.00210887417455178,0.00239738145476564,0.00216300174842637,0.00313600448119362,0.00583091066588742,0.00185818130414828
15.5,0.00280815756281941,0.0042903874530284,0.00195854461287961,0.00121976001898979,0.00297944788804285,0.00458716074836323,0.00726949107278106,0.00014565744746725
15.75,0.00286724157713048,0.003815676159007,0.00226723536139056,0.00150163681624205,0.00537442044476818,0.00596340865682394,0.00579935154564139,0.00153419651437891
16,0.00686197377625853,0.0101213307894077,0.0189147040487295,0.0011424738612668,0.00369039868626692,0.00268378481636023,0.00970619387357684,0.00941082466779082
16.25,0.00274387843125452,0.0034923256231726,0.00369781673483262,0.00457890957675044,0.00753309597005942,0.00792894430204193,0.00244671637609912,0.00680755397406309
16.5,0.00259550692552961,0.00321618857663637,0.00453772991015439,0.00603540298289552,0.00720250346910264,0.00706806811247475,0.00342999485457324,0.00916860063597265
16.75,0.0024651369094438,0.00261701460150236,0.00540181873752098,0.00704562487488491,0.00591600060699521,0.0062221220218446,0.00190780703179816,0.00561353855619853
17,0.0148772191143717,0.0174267579023146,0.0283153071138414,0.0165269375605588,0.00721984183213935,0.00739634455073233,0.0166712077378181,0.0200641233764786
17.25,0.00244735219006852,0.000374908968674528,0.00666336996923436,0.0075464792449229,0.00198430436675934,0.00211548462455629,0.00534090665024236,0.00351631120041732
17.5,0.00252171481485625,0.00151306122969522,0.00689060743061386,0.00693838262918843,0.00215704666127882,0.00110333670451747,0.00460671592289311,0.00402986655115433
17.75,0.00256932712149693,0.0031394522675063,0.00680095488622294,0.00564148755907595,0.0043565838072652,0.00158044472590379,0.00479737278295225,0.00224023901240969
